title,transcript,likes,comments,views,duration_sec,total_claims,false_claims,label
ADHD is NOT a deficit of attention,now let's talk about distractability which is sort of the Cornerstone symptom given the name attention deficit hyperactivity disorder but the interesting thing is that it's a bit of a misnomer because it's not that we have a deficit of attention at all I mean I can pay attention to something that I find riveting forever and forget that i' even have a body or a life or that you know time is passing the problem is that our attention spans are very often disregulated meaning we can't always control what it is our brain wants to pay attention to so if there's something that we're supposed to be doing like a particular class that we're supposed to be taking or doing our taxes but there's something much juicier going on over here then it is literally almost impossible for us to move our brain from the juicy thing over here to the task at hand,564,12,9916,49,4,2,3
ADHD vs Anxiety: Key Differences Explained,among the symptoms they have in common are having trouble focusing difficulty finishing tasks and adhering to deadlines agitation sleeplessness making the distinction between the two might be challenging due to their similarities however it is crucial to remember the following the main symptoms of anxiety are trepidation fear and worry the three main characteristics of ADHD are hyperactivity impulsivity and attention the three main characteristics of ADHD are hyperactivity impulsivity and inattention,20,0,1403,32,3,0,1
ADHD + Dyslexia,"ADHD and dyslexia have more in common than you might expect. Recognizing these similarities is key to better understanding your child. Firstly, children with ADHD often experience difficulty when it comes to tasks regarding focus and organization. Whereas for children with dyslexia, things such as reading and decoding may be an obstacle. However, for both ADHD and dyslexia, reading and attention challenges are common. If you notice these are present in your child's behavior, be sure to speak with their teacher. You got",1452,93,92363,31,4,0,1
What you should know about ADHD medication,"Three things to know about ADHD medication. One, ADHD medication is not a cure-all. It can help alleviate your ADHD symptoms, but it won't magically cure all your problems, like getting organized or planning things. Two, there are two kinds of ADHD meds, stimulants and non-stimulants, and they can have different side effects. Three, research has shown that if you have ADHD and getting properly treated for it, taking ADHD meds appears to reduce the risk of substance abuse, not increase it.",5918,94,343191,29,3,0,1
ADHD friendships ❤️ #adhd #adhdbrain #neurodivergent,as ADHD people we do things at Fallout when we love someone we love them like we fully love them if you've got a friend if anyone you know people watching have got a friend who is ADHD if they like you they really like you and they will forget you exist as well and that doesn't actually in their minds There's No in fact I was saying this to my friend recently I was saying you know if I don't hear from you like assume I really like you like don't assume anything's changed because I will see if something's changed like we've got anxious friends who if I don't speak to them they're like she hates me I'm like no I don't I just forgot you existed for a minute,31786,529,505071,32,3,3,4
5 Signs of ADHD 🤚🧠 | CBBC #Shorts,five secret signs from my time at school that I had ADHD that nobody ever picked up on one always daydreaming in class and struggling to stay focused especially when it wasn't one of my favorite subjects two forgetting to do my homework or losing it on the rare occasion that I did remember to do it three viting and moving around in my chair cuz I felt like I might explode from sitting still for so long four shouting out the answers to questions because I just could not keep my mouth shut any longer five asking for work in the subjects that I did enjoy because my brain just worked so quickly so those are five of the ways that ADHD showed up for me maybe you can relate to some of them or maybe you won't but we've all got brains that work in different ways,4868,0,319133,43,5,1,1
Fake ADHD versus real ADHD #adhd #adhdbrain #adhdselfimprovement,"Let's talk about fake ADHD because what most people call fake is actually misunderstood ADHD. I'm Saskia, licensed therapist, ADHD mentor, here to help you heal and understand yourself. ADHD doesn't look the same in everyone. Surprise, surprise. Some people are the classic can't sit still, blurting things out type. Others are quiet, anxious, perfectionistic, masking so hard they look functional on the outside, but they're falling apart on the inside. People think it's fake because they only recognize one version of ADHD. Usually the hyper little boy stereotype, but ADHD in adults, trauma survivors, often hides behind burnout, forgetfulness, emotional overwhelm, and executive dysfunction. So, no, it's not about people faking ADHD for attention or medication. It's about an entire culture finally noticing how ADHD can look different, especially in people who were missed, dismissed, or misdiagnosed for years. Validation isn't overdiagnosing, it's catching up.",1680,90,13046,80,4,3,3
ADHD and Motivation,"One of the most frustrating things about having ADHD is knowing how important something is to get done and still not being able to motivate yourself to do it. This happens whether it's important to a boss or your parent or a partner, but even if it's important to you. I have been late to so many job interviews, really important ones, but the importance just wasn't a motivating factor for me to get there on time. According to Dr. William Dodson, this is because a neurotypical person is motivated by importance and also rewards and consequences, but an ADHD person isn't motivated by these at all. Instead, we're motivated by five completely separate factors. One would be interest, two would be competition or a challenge. The third one is a sense of urgency. The fourth one is novelty or creativity. And the fifth factor that motivates us is passion.",20571,547,255637,52,4,2,3
Rejection sensitivity & ADHD | Experts answer,why am I so sensitive to rejection rejection is hard for everybody but as it turns out people with ADHD often suffer from something called rejection sensitivity dysphoria now you can have rejection sensitivity without ADHD but we often see that they go hand inand and what this means is is that you might misinterpret things and become overly emotional about things an example would be that someone looks at you the wrong way and you immediately become panick that they hate you and what your ADHD does is it gets you stuck you're unable to zoom out and see that he looked at everybody that way or he doesn't even know you and then the emotions become overwhelming and at that point you become disregulated and the problem with that is sometimes you can misinterpret the situation or overreact to the situation and then the person may become defensive or angry and all of a sudden everybody's angry and sensitive and disrupted that's why it's important to take a step back sometimes just take a deep breath count to five see the broader picture and maybe regulate your emotions before you go down the rapit hole,3462,91,83959,53,4,3,3
The REAL Reason Generic ADHD Strategies May Not Work For You,"Hey there. Treatment for ADHD is not one sizefits-all. That's why it can often be very frustrating when you see videos and articles and whatever else you see and you get quick tips and you think, ""Oh, I've tried this. It doesn't work."" Or, ""Oh, that's not never going to work. That person has no idea what they're talking about."" I imagine if you've you have ADHD and you've spent a lot of time trying to do different things and have gotten frustrated and felt like nothing's working, those thoughts might have popped into your head. But but here's the thing. One size does not fit all with how you approach it. It's and it's not just about the strategies. The strategies often help a lot and are a big part of it, but it's also about finding the ones that are the right fit for you and also often times when needed working with someone to actually help you to implement them and just to learn a different process to be able to approach it. So next time you're getting frustrated thinking nothing works, you know, I can't do this. Why should I even try or why should I listen to anyone that has all these strategies? Take a step back and really think about what can I do differently? The mindset itself can really help you to keep pushing forward in a positive way. But also, if something's not working, if you keep doing the same thing over and over again, it's not you're probably not going to get better. But if you take a step back, really evaluate what could work, what what could I try doing, how could I approach it differently, and not have it be just about the strategy, but about the approach of actually how you implement the strategy, that can sometimes make a big difference. So, I hope this is helpful in getting you think a little bit more about an individualized approach to ADHD treatment. [Music]",2,0,372,86,4,0,1
How ADHD people can focus,"some amount of sensory input is necessary for some brains to maintain focus. So you can look at studies of people who have ADHD and if they have some kind of white noise or music in the background then it is easier for them to maintain focus. There are some people who have a lot of difficulty meditating with their eyes closed and in fact the ideal way to meditate according to some traditions is a half-litted gaze. So you're kind of looking like this where they're open a little bit and you're getting some kind of sensory input. So this is another interesting principle of the brain is that if you deprive the brain of sensory input, it will create its own sensory input. People with ADHD will self-stimulate if you force them to sit down and not get any stimulus. So if you take a kid with ADHD and you tell them force them to sit still and listen to the lecture, they'll start going like this, right? They'll start widdling.",15483,253,290292,54,3,1,2
"ADHD might not be the real problem with your brain, it might be something in your sleep.","ADHD might not be the real problem with your brain. It might be something in your sleep that most doctors are not even looking for. Now, the reason this can get mixed up is because of the similarity in brain scans. So, I'll reveal what this is in a moment, but in ADHD, as we know, there's issues in being able to focus. You have dopamine dysregulation, like just all different things stimulate you and distract you. Uh and all that. Very similar brain scan will happen with sleep apnea. Now, it's a little bit different, but you will have the same deficits in attention, reward circuitry, and all that. And in fact, that's why the gold standard of research, a meta-analysis, has shown if you treat sleep apnea, it will reverse a lot of those same issues. So, if you think you have ADHD and you have bad sleep, you're tired, or you just have a dry mouth in the morning, make sure you talk to your doctor about getting some sort of diagnostic work. And if you do have sleep apnea, do something about it. Let me actually be helpful with very low-cost things you can do at home. Sleep on your side. Elevate the head of the bed. Incline the whole bed. Don't eat within 3 to 4 hours before bed. Do some breathing exercises. Do some tongue exercises. All of those things can reduce apnea episodes by about like anywhere from like 10% to 30% each. You just got to stack the things in the right direction. And one more thing that may help with oxygen flow is boosting nitric oxide. If you want to learn more about that, you can go to this link. Or if you're on YouTube, you can press this button over here.",98,3,1319,84,9,7,3
Can Sugar or Screens Cause ADHD? Here's the Real Answer,"So, a little while ago, I did this video. ADHD is absolutely not caused by sugar or screens. It is a difference in the brain. And I spoke very imprecisely. What I was trying to say is sugar and screens do not impact ADHD diagnosis. So, the idea is you're not going to eat enough sugar to create ADHD. You're going to create a whole lot of other things, but you're not creating ADHD. You're not going to watch enough phone or be on your phone for long enough to create ADHD. If you have ADHD, are you going to be attracted to that sugar? Oh yeah. Are you going to be attracted to that phone? Oh yeah. All of those dopamine highs that you're getting from there, they are absolutely going to be something that you're going to be more attracted to than other individuals of the neurotypical variety. So, if you think you or a loved one may be struggling with ADHD or a learning disability, check out our quiz at armisassessment.ca. [music]",40,0,1006,59,5,1,1
Is It Anxiety or ADHD?,there are certain symptoms that are comparable amongst the illnesses making differentiation challenging this may make diagnosis and treatment approaches more difficult although there is a direct correlation between anxiety and ADHD you can develop a coping mechanism for one or both of them with the correct management plan what is the relationship between anxiety and ADHD having difficulty focusing and being Restless are two of the main symptoms of ADHD that can interfere with day-to-day living and also make it difficult to complete tasks or fulfill commitments,8,0,492,34,4,0,1
Understanding ADHD: Beyond the Common Misconceptions | ADHD Scapegoat Podcast #ADHD #Overwhelm,you know when people say oh everybody has a little bit of ADHD no it's like yeah everybody pees but if you get up to pee 60 times in a day there's probably something wrong you know what I mean like there's like it's a very big difference between oh I know I'm in a state of overwhelm as a neurotypical person and now all of these things are bothering me or I'm in a very noisy you know place where people are all with each other where people could get overwhelmed naturally like everyone could get overwhelmed by that but it's being in those situations day in and day out multiple times a day that is what sets apart our experiences,4,0,57,49,2,0,1
Adderall explained: what you need to know (and what no one tells you) 💊 #adhd #summeronshorts,"I must have taken that aderal like 30 minutes ago. I'm going to tell you everything that you need to know about Adderall. So, this medication is considered a controlled two substance, which means it has a high potential for abuse and dependence. What you'll notice is at the pharmacy, you'll probably only be able to get a month supply at a time. Usually, you could fill it 2 days early. The reason for the 2-day notice is to prevent people from stockpiling it because actually, sometimes your insurance will let you fill it usually like a week early. And with this medication, it is a firstline option for ADHD. You want to take this in the morning because it will possibly keep you up at night. Initial dose is usually 5 milligs once a day for the immediate release. And then adults for the extended release is going to be 10 to 20 millig. And fun fact, the AAP guidelines, which are guidelines that pediatricians follow, don't actually recommend dextroetamine in patients less than or equal to 5 years old. Also, a fun fact with these medications is that you don't want to take them with like acidic foods or like vitamin C, for example, because it can actually decrease the absorption of the aderall. And then when it comes to tapering off of the medication, there actually is no tapering if you are taking the appropriate dose. And it can cause a decreased appetite. So to help prevent weight loss, it's actually recommended to have a larger breakfast in the",41275,2923,815976,74,9,3,2
What Actually Causes ADHD? Dr. Vishal Kasal Explains the Real Brain Science Behind It,"What causes this ADHD? Is it a brain problem that you know no normal development? >> So it is it is a brain problem. The they are still trying to find out the exact reasons but it seems to be multiffactorial in nature. Okay. So uh the there are three things which they have consistently seen. Uh the prefrontal cortex uh is the last one to mature. In people with ADHD, they have seen that the gray matter thickness in the prefrontal cortex is on the lesser side. Ability to think is because of the gray. So that the thickness of that is slightly reduced in people with ADHD. Uh and uh what they have also seen is that it matures or the malination happens in a delayed basis in people with ADHD.",4,0,233,63,8,3,2
ADHD Paralysis: The REAL Reason ADHD Brains Can’t Get Started,"This is a dopamine curve. This line here is baseline, how much dopamine is available in the brain at any given time. For neurotypical brains, dopamine usually rises when they start a task and stays steady because their brain can track the reward at the end. Then, once the task is done, it drops off gently, sometimes there's a little dopamine trough, a little less motivation after, sometimes not. But ADHD brains are much different. They often start from a much lower baseline, which means we may need more dopamine activation to get going in the first place. This is a huge reason why task initiation can feel so dang hard. And that also explains why we can suddenly start when something is interesting because interest boosts dopamine and helps us get over that hump. Why we become suddenly so productive under pressure? Because urgency boosts adrenaline, which pairs with dopamine and helps us get over that start hump, as well. So, when an ADHD person can't start, it's not necessarily that they don't want to. Sometimes, their brain just doesn't have enough activation to cross that start line.",2644,29,37511,51,6,5,3
ADHD Isn’t a Disease — It’s a Childhood Adaptation | Gabor Maté Explains,"I can tell you about my own ADHD. And this is where we go back to childhood again. My mother didn't abuse me. She did her best to look after me, but she was stressed, depressed, terrorized, grief-stricken. I'm picking that up as a sensitive infant. Can I fight back, change the situation, or escape? No, none of those. What can I do? Nothing I can do. My brain will tune out as a way of dealing with the stress. So that tuning out, that absent-mindedness, that desire to scatter your attention all over the place, that's not a disease. They say it's an inherited disease. The hell it is. It begins as a coping mechanism which then gets programmed into the brain. And as a lot of these early coping mechanisms function, they help you in the short term, create problems in the long term. And ADD is one of these examples.",6413,161,226045,47,3,3,4
ADHD Myths Busted: Understanding the Real Condition,"ADHD Myths Busted: Understanding the Real Condition #shorts #adhd #mentalhealth As you heard today, we are talking all about ADHD, a term we hear about all the time everywhere and anywhere. 15 and 1/2 million adults in the US diagnosed, yet so many people still don't fully understand what it actually is. And he broke down some of the major myths about ADHD like how it's not just a focus issue, that it's highly genetic, that there is early signs people miss like when people talk too much >> [laughter] >> or they're often misdiagnosed as anxiety or depression and how it shows up in relationships. I think if you've ever had questions about ADHD, this is the one to listen to. The breakthrough comes when you stop fighting yourself and start working with your brain instead of against it. Oh, boy.",9,1,947,48,6,0,1
NEW ADHD Medication: Centanafadine (Simtriyo) Explained,"Did you guys see that we have a new medication for ADHD? This is a new stimulant medication. Instead of targeting just dopamine and norepinephrine, this new medication is targeting three neurotransmitters. It’s Monday, and you know what time it is. It’s time for drug of the day. So today’s medication that we’re going to talk about is serdexmethylphenidate, which is the generic for Azstarys. This just got FDA approved, so please, if I’m saying this wrong, don’t judge me. This is the first FDA-approved medication in a brand-new class of medications called NDSRI, which stands for norepinephrine, dopamine, serotonin reuptake inhibitor. Try saying that five times fast. This medication can be used for ADHD in adults as well as children who are six years of age and weigh at least 20 kg. The starting dose for adults is 210 mg by mouth every morning, and you can increase it to a maximum of 280 mg per day. How this medication works is it’s going to increase norepinephrine, so you’re going to have more alertness and be more attentive. It’s also going to increase dopamine, which is really great for motivation and reward processing. Then there’s serotonin, which honestly isn’t well documented for its purpose in ADHD, but it’s believed that it will probably help with impulsivity and controlling behaviours and emotions. When it comes to side effects, there will be decreased appetite, insomnia, dry mouth, and nausea. If you’re wondering if it will be a controlled substance like Adderall or Vyvanse, we actually don’t know yet because it hasn’t been classified by the DEA, but most likely it will probably be a controlled substance.",5582,352,68688,71,8,2,2
The unexpected side effects of using ADHD drugs,now there's a lot of hype around drugs like Aderall and Ridin you're only supposed to use them if a doctor prescribes them for something like ADHD but the reality is lots of people without ADHD take them especially college students they're often seen as these magical pills that can make you study longer Focus harder and cram more info into your brain but is that true and aren't there some dangerous side effects with these drugs most ADHD drugs are stimulants they stimulate and activate your central nervous system within 15 or 20 minutes of popping a pill caffeine is also a stimulant but ADHD drugs are a lot more powerful like Aderall which is one of the most commonly prescribed stimulant medications in the US the active ingredient is a version of amphetamine which has been around a long time remember it's illegal to use ad orall without a prescription and you can experience some really annoying side effects like headaches dry mouth high blood pressure increased heart rate sleep problems weight loss irritability changes in sex drive and erectile dysfunction,5103,319,306207,60,8,1,1
Is It Possible To Have ADHD & OCD? | Dr. Daniel Amen,so can I have ADHD and OCD at the same time all the time I see it particularly in children and grandchildren of Alcoholics what we see in the brain is the middle front part of the brain works too hard and an area called the inferior orbital prefrontal cortex doesn't work hard enough so it's like you have low levels of both serotonin and dopamine and early in my career I'd use a combination of Prozac and Ritalin miraculous for some patients now I'll use more supplement options like 5-HTP and Rhodiola ashwagandha ginseng and just to help balance the brain happens all the time,6224,228,145507,53,4,3,3
The truth behind lying and ADHD,"We've all heard of fight, flight, or freeze, but researchers have now added a fourth F specifically for ADHDers. And that F is fib. That's right. ADHDers, especially children and teenagers, are known to lie. But they don't do this because of a personality defect. They do this usually for self-preservation. ADHDers, by the time that they are 10 years old, they've heard over 20,000 corrective messages. This means that they are used to getting in trouble, being disciplined, being redirected, told that they are doing things wrong, and being compared to people who can do things right. ADHD, children, youth, young adults. Sometimes even adults might lie because they're panicking and they need more information. They don't know what story you're looking for and they need more time to consider all of the facts. Sometimes it's because they don't want to be in trouble. They're delaying the inevitable. They're in trouble again. Or it may just be because it's so damaging to their self-esteem to know that one more time they disappointed someone in their life. It's not that we just want to accept lying, but we do want to have an awareness to why an ADHD's immediate impulse reaction is to lie. It's not because they want to be bad or dishonest. It's usually because they are going into protection mode and trying to figure out how to handle this very uncomfortable situation that they find themselves in again and again and",253,6,7137,64,6,6,4
ADD vs ADHD: What's the Real Difference?,"ADD vs ADHD: What's the Real Difference? #shorts I get this a lot. Um, and would you mind kind of clarifying for us what the differences are and whether or not that difference is uh meaningful? >> Yeah, so ADD stands for attention deficit disorder, and that's just kind of a general umbrella term. ADHD is attention deficit hyperactivity disorder, and so uh there's not a huge difference in in my mind. That's why I tend to use them kind of interchangeably because even when we look at uh the diagnosis and we we diagnose according to the ICD-10 and the DSM, uh there's actually subtypes. So, even though they say ADHD, the subtype would be predominantly uh inattentive, for example, rather than um hyperactive or um yeah. >> So, if it's So, if it's ADHD predominantly inattentive, that is synonymous with ADD, is what you're saying.",10,0,438,53,5,0,1
"Autism, ADHD & Down Syndrome Are Not the Same — Understanding the Real Medical Differences","Autism, ADHD & Down Syndrome Are Not the Same — Understanding the Real Medical Differences |Gobinath Autism, ADHD, Down syndrome, ADHD, ADHD. It is can occur along with autism. Separate condition which can be treated with medication. ADHD hyperactive child only therapy. Down syndrome is a chromosome abnormality. There is a chromosome full body every system is affected. So that is a different condition. They may also have mental retardation or heart problem separate neurodyivergent ADHD autism learning disabilities separate condition. Red.",738,8,46836,74,6,1,1
ADHD Is Not Just a Superpower (and I Will Not Pretend),"Rejection sensitive dysphoria is one of the big reasons why I could never say that ADHD is just a superpower. Are there parts of my experience, my family members experience that are a superpower that I wouldn't trade for the world? Absolutely. >> [laughter] >> Absolutely. The creativity, the problem-solving, the curiosity, um the excitement. Uh there are so many aspects of having ADHD that you couldn't pay me. There's not enough money in the world for me to give it up. But there are parts of the experience, unchangeable parts of the experience of ADHD that are so hard and painful and debilitating that I could never just describe the experience as being a superpower.",1,0,114,53,4,2,3
ADHD + Autism = AuDHD. Here's what that can really feel like…,"ADHD and autism frequently co-occur. Many people with one or the two diagnoses show elevated traits of both ADHD and autism. Common experiences for ADHD and autism include sensory differences, intense focus on specific interests, rejection sensitivity, executive dysfunction, sleep issues, and emotional regulation. Someone with ADHD is more likely to seek out novelty and make more impulsive decisions, whereas an autistic person is more likely to crave routine, structure, and order. If someone is autistic and has ADHD, they’re known as AuDHD. They may experience an internal struggle and tension between their competing autistic and ADHD traits and a heightened experience of shared traits.",6153,174,153238,58,8,1,1
13 Ways ADHD Affects Eating Habits #adhd,"Here are 13 ways in which ADHD can affect your eating habits. Number one: people with ADHD often have really poor body proprioception, which means that knowing when you're hungry, knowing when you're full, and what that feels like can be really challenging. Number two: really common medications for ADHD, such as Adderall and Vyvanse, can really suppress appetite, which means that trying to rely on hunger cues alone can lead to undereating. Number three: time blindness and hyperfocus can make it really challenging to act on hunger cues when they do arise. Number four: people with ADHD often have a hard time prioritizing things appropriately, so if you notice that you are hungry but you are doing something that your brain says is more important, it can be really difficult to prioritize acting on hunger unless that cue is really intense. Number five: people with ADHD often do really well with routines and structure; however, they also have a really strong need for novelty, which makes meal planning and meal preparation challenging. One part of your brain wants to prepare everything so you do not have to think about it and can eat the same thing every day, while the other part cannot have the same thing every day. Number six: unless that food is a hyperfixation food, at which point you must eat the same thing every day until, suddenly and without warning, the sight of that food makes you want to be sick. Number seven: not getting enough fuel during the day because you are focused on other things, or because your appetite is poor, can affect focus and executive function, making it harder to choose more nourishing, substantial meals in the evening. Number eight: having nourishing things to eat during the day may sound simple, but it requires many steps, which can be overwhelming and exhausting, lead to task avoidance, and cause many people with ADHD to rely on convenience food or takeout. Number nine: cooking can be overstimulating for many people with ADHD because of the sounds, smells, and visual mess. Number ten: food is an accessible and reliable way to boost dopamine when you feel burnt out, which many people with ADHD chronically are, so snacking is probably not merely a lack of willpower or boredom but is meeting core needs. Number eleven: because food can reliably and easily boost dopamine, many people may use it to help with task initiation and completion. Number twelve: for some people with ADHD, food can be a stimming behaviour and help meet stimulation needs. Number thirteen: for many people, eating can feel like the most accessible activity when stuck in “waiting mode.” Because of these dynamics, binge eating is common in the ADHD community.",530,16,7252,175,13,4,2
"For ADHD, Motivation Is the Wrong Fuel","Stop waiting to feel motivated. Motivation does not work for an ADHD brain; it is the wrong fuel. Your ADHD brain works on urgency, importance, interest, novelty, and challenge, none of which are motivation. We therefore have to manufacture something to make a potentially boring task feel more urgent. This can mean telling someone it will be done by a deadline. It can also mean body doubling. Make the boring task urgent and your brain will switch on.",20,0,968,28,3,3,4
What 70% of ADHD Diagnoses Get Wrong,"The majority of people—truly, around 70%—who come in with an ADHD diagnosis, or who are self-proclaimed ADHD, do not have a neurological ADHD pattern at all. In our world, we look at something called a theta-beta ratio: how much theta production there is relative to beta. Most people think they have ADHD because they are hyperactive, cannot sit still, are easily bored, and so on. A true ADHD person is actually swimming in their own theta. They are in a slower, calmer, more creative, more relaxed state. You cannot be slow, tired, and lethargic during the day, so the brain constantly tries to put itself into an alert state. It produces all this little beta, but it is not sustainable. That is the classic pattern, which most people honestly do not have. Usually, they have a very fast processing speed and a lot of high beta, so it is hard to sit still, but it is a completely different pattern.",3,0,56,63,5,5,4
ADHD and Sleep: Why You Can’t Just “Go to Bed Earlier”,"If you have ever told someone with ADHD to just go to bed earlier, here is why that advice usually backfires and four tips that can help. The ADHD brain often struggles with delayed sleep phase. The internal clock or circadian rhythm tends to be shifted later than average. Melatonin does not rise when it should, so even when the body is exhausted, the brain might not feel sleepy until very late. Add low dopamine, difficulty transitioning, and mental overstimulation, and bedtime can become a real challenge. For many people with ADHD, that second wind at night is not random: it is the brain finally getting space to decompress after a long day of masking or structure. It is not about laziness or poor discipline; it is about brain chemistry, nervous-system regulation, and transitions. Four strategies can help. First, get natural light early in the morning, within 30–60 minutes of waking. This anchors the circadian rhythm and helps melatonin rise at the right time later. Second, use a reverse alarm 60–90 minutes before bed to begin transitioning. The ADHD brain struggles with abrupt stops, so this creates space to shift out of hyperfocus gradually. Third, reduce nighttime decision-making by keeping a consistent, predetermined wind-down routine. Fewer choices mean less friction and smoother transitions into rest. Fourth, schedule downtime earlier. If you stay up late to reclaim alone time, unstructured time earlier in the day can reduce “revenge bedtime procrastination.” Sleep challenges in ADHD are rooted in neurobiology and require strategies matched to the way the brain works.",170,13,1560,126,9,4,3
ADD vs. ADHD | Experts answer,"What is the difference between ADD and ADHD? Some people with ADHD do not have hyperactive symptoms, so it makes sense in that case to say that they have ADD. Technically, ADD was replaced in the official diagnostic manual by ADHD back in the 1980s. The official name would now be ADHD, predominantly inattentive presentation. That does not roll off the tongue as easily, so it is understandable why people sometimes still use ADD and ADHD interchangeably.",3366,102,142052,48,3,0,1
How do ADHD symptoms affect your life over the years?,"I have seen many people for whom I am the first doctor they have visited for ADHD. They may have had mild symptoms as a child and managed, but something has now changed: the demands of life have outstripped their ability to compensate for the deficit. This usually corresponds to changes in academic or work demands. A person may have been a slow reader at school or had extra energy and trouble settling in class but made it through high school, then struggled to keep up with college-level work and first saw a psychiatrist in college. They may get through college but reach a breaking point in graduate studies. They may do adequately in a first job that does not tax attentional resources heavily, then receive a promotion or higher-intensity job and become unable to keep up. These are examples of how someone can appear all right for a while and then cease to cope.",4282,114,47803,60,2,0,1
ADHD Sensitivity Isn’t Fragile—It’s Real,"Sensitivity does not mean broken; it means attuned. It means your nervous system is working overtime to keep you safe in a world that has often been harsh and invalidating. ADHD brains do not just take in more; they hold on to it longer. Having “sticky brains” with ADHD means we ruminate more, remember what others forget, and replay conversations in our heads—not because we are fragile, but because our brains are still processing.",2,0,328,30,3,3,4
Does ADHD medication make people with ADHD more likely to become addicts?,"A myth about ADHD is that people with ADHD lack discipline and are lazy. It can look like laziness, but it is a lack of adequate motivation—a brain-derived motivation, not external motivation. Punishment, shaming, and threats do not motivate. The threat of losing a job may motivate a person who lets self-interest get in the way of work, but a person with ADHD has a brain that does not produce enough dopamine in the nerve circuits controlling motivation and reward. What seems like an easy task to a person without ADHD can seem monumental to a person with ADHD. You know you need to do something, but you are stuck and cannot get out of that mental space. Similarly, with hyperfocus, you can be moving at 50 miles per hour on a task and cannot leave the fast lane. You continue until something forces you out or you run out of steam.",9898,215,145330,59,5,2,2
Your Child's ADHD Symptoms Might Be Starting in The Gut,"When we talk about gut health, we are not just talking about digesting food. We are talking about everything: the immune system, nervous system, gut-brain connection, hormones, detoxification, mood, behaviour, focus—all of it. The gut is not just processing food; it constantly communicates with the brain. When something is wrong in the gut, the brain feels it strongly. If you look only at the brain, behaviour, or top-level ADHD symptoms, you are looking at the last step of the problem.",0,0,21,46,4,2,3
⚠️AWARENESS⚠️ #pov symptoms of ADHD that you probably didn’t know about… #shorts #fyp #tiktok #adhd,"Symptoms of ADHD that you probably did not know about. A friend declines an invitation to go shopping and the person becomes visibly upset despite saying it is fine. Someone repeatedly clicks a pen and the person becomes distressed by the sound. The person feels constantly tired despite sleeping for eight or nine hours. The person forgets a doctor’s appointment and realizes at 5 p.m. that it was scheduled for 4 p.m. The person edits all day because it needs to be perfect. Finally, the person is asked to do something at 11 rather than 12 and reacts that the one-hour change is a major problem.",11171,374,178133,64,6,3,3
Does This Type Of ADHD Sound Like You?,treatments for the seven types of add or ADHD type two in attentive add short attention span distractability that not very hyperactive or Restless just trouble getting going what we often see on the scans decreased prefrontal cortex activity decreased cerebellar activity so what really helps them is coordination exercises physical exercis a higher protein lower simple carbohydrate diet stimulating supplements can be really helpful like El tyrosine and sometimes stimulants like Rin or arerol can be just incredibly helpful,6447,401,197050,46,7,4,3
Is It Bipolar Disorder or Severe ADHD?,lot of people who get misdiagnosed with bipolar disorder who actually have severe ADHD because at the end of the day both conditions are impulse control disorders the difference is that with bipolar disorder you expect to see sustained periods of elevated mood or depressed mood and by sustained I'm talking about a week whereas with ADHD you tend to see swings in mood hour by hour uh potentially due to challenges with self regulation,1057,40,33552,32,4,2,3
How to treat ADHD and depression | Experts answer,how do you treat ADHD and depression so this is pretty straightforward for me obviously both disorders need to be treated but there's a hierarchy here if you're concerned that you have depression at all we always treat that first the first and foremost is making sure that you're safe that you're not feeling hopeless or suicidal the key to that is is that if you properly treat the depression you get the help you need whether it's therapy meds family support it really will have a huge impact on your ADHD because people that are depressed really can't manage their ADHD even if they're on the right meds and even if they have the world's greatest support system if you're suffering from depression you're not going to have the energy or the focus to take the steps you need to feel present and engaged so the key is take care of yourself first make sure you're safe treat the depression and the ADHD will follow,155,5,5186,42,6,3,3
How to cure ADHD (short term),"Ah, I can't focus and have bad memory. Why does this happen? That's because you have ADHD. Your brains lack dopamine and norepinephrine. I see. Is there any way to solve this? Not a long-term solution, but if your brain triggers a fight orflight situations, it'll be more focused for a short period. Oh, how can I make my brain do that? Help me. Help me. You want me to help you? Yeah. No regret? Yeah. Okay. If you don't complete your studies in an hour, I'll shoot you. Time starts now. Oh, no. No. Wait. Shut the [ __ ] up. It's study now. 10 seconds just passed. How is that 10 seconds? Come on. I [ __ ] told you. Holy [ __ ]",11417,253,375841,37,4,3,3
Why is ADHD treated with stimulants,"Why is ADHD treated with stimulants? If you have a kid who's got ADD or ADHD, their mind is moving really, really, really fast to begin with. They're having a thousand thoughts a second. They're also fidgety. They move their arms around a lot, hands around a lot, right? They can't sit still. And what we also know is that stimulants tend to like ramp people up. So, I was super confused because it seemed like stimulants should make ADHD worse, right? Don't we want to like slow people with ADHD down? So this is what's really fascinating about stimulants and why we use the ones that we use is because what they actually stimulate is activity in the frontal loes. So the way that stimulants work in ADHD is our brain has a gas pedal and it has a break. The stimulants actually stimulate is the break. So they actually act in the frontal loes and then allow the frontal loes to strengthen the frontal loes to inhibit other parts of our brain. So what we're actually stimulating is our inhibitory circuitry.",2857,86,73473,55,3,1,2
